id,Age,Sex,Ethnicity,Health,Work,Beef,Lamb,Pork,ProcessedRedMeat,Burgers,Sausages,Offal,Poultry,GameBirds,Fish,Alcohol,Fruit,Veg
1,a0_02,F,white,verygood,u16_75pl,0.0875,0.3075,0,5.75,0,47.5,0,33.1865625,0,2.5,0.118125,155.035375,52.53939375
2,a0_02,F,white,verygood,u16_75pl,0,0,15,2.75,0,17.25,0,15.075,0,0,0,100.625,23.045245
3,a0_02,F,white,verygood,u16_75pl,7.4886875,0,0,16.125,0,8.30335,0,8.375,0,2.5875,0,0,53.94739375
4,a0_02,F,white,verygood,u16_75pl,16.45,0,0,5.5,0,15,0,6.4665,0,0,0,0,96.9760725
5,a0_02,F,white,good,u16_75pl,11.39375,0,20,20,0,25.55,0,0,0,0,0,84.869,61.9885
6,a0_02,F,white,good,u16_75pl,0,0,0,14.375,0,17.5,0,0,0,0,0,170.7625,100.465
7,a0_02,F,white,fair,u16_75pl,0,0,0,33.25,0,22.5,0,9.045,0,0,0,191.125,101.1661875
8,a0_02,F,white,fair,u16_75pl,20.6,0,0,10.327,0,42.5,0,19.8562,0,0,0,113.75,22.355315
9,a0_02,F,black,verygood,u16_75pl,1.408,0,4.135,0,0,0,0,4.4162,0,44.2,0,219.799675,59.30561
10,a0_02,F,white,good,u16_75pl,22.655,0,0,0,0,7.5,0,15.15545,0,0,0,101.417,80.838125
11,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,0,0,122.4875,1.17925
12,a0_02,F,asian,good,u16_75pl,0,13.68565,0,0,0,0,0,14.090125,0,0,0,25,34.46835
13,a0_02,F,white,verygood,u16_75pl,5.6721,0,0,0,0,53.169125,0,0,0,0,0,3.864,34.4664
14,a0_02,F,white,verygood,u16_75pl,3.75,0,0,11.5,0,0,0,7,0,19.0816875,0,162.813125,139.3068175
15,a0_02,F,white,verygood,u16_75pl,6.95284,0,0,0,0,11.25,0.01648,12.5824,0,0,0,124.9,73.1039
16,a0_02,F,white,verygood,u16_75pl,0,12.75,0,6.25,0,1.87495,0,0,0,0,0,84.1705,79.4633
17,a0_02,F,white,good,u16_75pl,15.91936,0,0,5.75,0,0,0,0,0,1.875,0,3.75,76.8292
18,a0_02,F,white,verygood,u16_75pl,0.037,8.41344,0,19.987325,0,2.1428,0,21.716225,0,10,0,176.2182875,85.08399375
19,a0_02,F,white,verygood,u16_75pl,12.95271875,0,0,24.7705625,0,22.5,0,2.5,0,4.635,0,81.84375,49.24496875
20,a0_02,F,white,verygood,u16_75pl,5.97639,0,0,2.75,0,51,8.4,25,0,0,0,97.4,10.6826375
21,a0_02,F,white,verygood,u16_75pl,11.425,0,3,3.513,0,10,0,0,0,9.62275,0,103.150875,90.88007
22,a0_02,F,asian,verygood,u16_75pl,0,0,0,0,0,0,0,11.8,0,66.625,0,130.875,64.45
23,a0_02,F,white,verygood,u16_75pl,4.0163,0,0,16.6355,11.2875,9.9834375,4.5,1.3225,0,12.978,0,96.085,40.525825
24,a0_02,F,white,verygood,u16_75pl,30.97639,0,0,5.75,0,0,0,39.204025,0,0,0,44.63,115.2573375
25,a0_02,F,white,verygood,u16_75pl,16.2,0,0,5.75,0,0,0,0,0,4.45,0,215.675,196.03997
26,a0_02,F,white,verygood,u16_75pl,0,8.535,0,0,0,53.83905,0,15.036125,0,0,0,67.12675,116.7183
27,a0_02,F,white,verygood,u16_75pl,6.425,0,0,5.75,0,0,0,0,0,0,0,1.26,132.762175
28,a0_02,F,white,good,u16_75pl,0,0,0,0,0,12.1,0,4.4175,0,0,0,37.4585,38.2953
29,a0_02,F,white,verygood,u16_75pl,4.357375,0,0,0,0,0,0,16.41875,0,9.34575,0,335.792,151.86075
30,a0_02,F,white,verygood,u16_75pl,16.45,0,0,16.025,0,26.625,0,0,0,1.744125,0,34.81875,70.58105625
31,a0_02,F,white,fair,u16_75pl,2.9211,0,6.573,2.75,0,24.1065,1.09,44.36875,3.5625,6.0625,0,123.77814,98.4118025
32,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,11.326,0,195.10515,91.4563525
33,a0_02,F,white,verygood,u16_75pl,3.85,0,0,4.3125,0,2.008875,0,8.875,0,0,0,205.695625,95.02575
34,a0_02,F,white,verygood,u16_75pl,40.076,0,0,10.0625,0,1.25,0,0,0,0,0,151.94125,70.16725
35,a0_02,F,white,verygood,u16_75pl,9.65,0,0,17.75,6.02,45,0,17.755,0,0,0,73.45,69.709105
36,a0_02,F,black,verygood,u16_75pl,10,9.625,0,0,0,37.5,0,5.52,0,0,0,77,98.54544
37,a0_02,F,black,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,13.27125,0,28,69.60830625
38,a0_02,F,asian,verygood,u16_75pl,0,0,0,0,0,0,0,99.88,0,4.326,0,33.052225,41.57904
39,a0_02,F,asian,fair,u16_75pl,0,0,0,0,0,0,0,3.6,0,103.275,0,136.2384075,119.1783638
